SITE_ACCOUNT_NUMBER,ACCOUNT_STATUS,FIRST_COMMUNICATION_DATE,UPGRADE_DATE,SERVICE_ PLAN,MODEL,SALES_CHANNEL,DIRECT_INDIRECT_CHANNEL,SALES_SOURCE,COMPANY_SOURCE_NAME,FIRST_NAME,LAST_NAME,ADDRESS,CITY,STATE,ZIPCODE,EMAIL_ADDRESS,FEEDBACK,SATELLITE,SITE_TYPE_DESC,WARRANTY_NAME,MOST_RECENT_SALES_CHANNEL,GENDER,DATE_OF_BIRTH,AGE,INCOME,MARITAL_STATUS,PRESENCE_OF_CHILDREN,COMPUTER_OWNER
AMR-24150785,Active,3/15/2002,3/25/2006,Proplus,UNK,Retail/others,Indirect,InfoDish,HNS Customers,James,Barney,575 HIGHLANDS 74 0 0 0,FRANKLIN, TN,37064,James.Barney@gmail.com,BAD,G17-HOR-2K,Spaceway,0,HN7000 Upgrade,2,10-7-1962,50,4,1,0,
AMR-24161086,Active,10/20/2001,9/26/2005,Power150,HN9000,Retail/others,Indirect,AmericanSat,HNS Customers,Juliaa,Hyde,111 RUSSELL 2004 0 RD 0,LOS ANGELES, CA,90008,Julia.Hyde@wexzone.com,GOOD,SM5-VER-5K,Broadband Remote,0,Direct,1,24-3-1964,48,4,0,0,Y
AMR-24163855,Active,1/4/2002,10/12/2004,Pro,DW4000,Retail/others,Indirect,AmericanSat,HNS Customers,William,Rhodes,14155 INDIAN 837 ST 0 0,FREDERICKSBRG, VA,22407,William.Rhodes@gmail.com,GOOD,G3C-VER-21K,Spaceway,0,Dealer-Generated Sale,1,11-1-1988,24,6,0,0,N
AMR-24164918,Active,1/9/2002,7/7/2005,,HN7000S,,Indirect,ACS Pre-Install,HNS Customers,Wade,Doll,#REF!,MOUNTAIN HOME, ID,83647,Wade.Doll@gmail.com,,SM5-VER-1K,Broadband Remote,0,DPC Classic upgrade,1,11-5-1989,23,D,0,,
AMR-24165444,Active,1/19/2002,9/26/2003,Home,UNK,Sales Agents,Indirect,Best Buy,HNS Customers,George,Spears,7232 GRAND AVE,ORLANDO, FL,32824,gdspearss@netscape.net,BAD,,Broadband Remote,,Retail,2,5-11-1948,64,6,0,0,N
AMR-24168402,Active,10/31/2001,9/12/2005,Elite,DW4000,Retail/others,Indirect,TAG,HNS Customers,Ekennetha,Baker,1120 LINCOLN 781046 ROAD 0 0,ROBERTS, MT,59070,Ekenneth.Baker@aol.com,,SPACEWAY3,Broadband Remote,EXPRESS REPAIR HOME WITH TERM,Dial Return Upgrade,1,21-2-1983,29,0,0,0,
AMR-24169550,Active,2/21/2002,12/31/2005,Pro,HN7000S,Retail/others,Direct,NCC,HNS Customers,Tommya,Goett,PO COUNTY 408TH 0 0 0,ROGERS, MN,55374,Tommy.Goett@compuserve.com,,SM5-HOR-6K,Broadband Remote,0,Retail       ,2,12-1-1939,73,1,1,0,
AMR-24172434,Active,3/26/2002,2/1/2006,Elite,HN7000S,,Indirect,Verisign Web Ordering,HNS Customers,Marka,Remmell,1614 HIGHWAY RD 0 SE 0,BRICKEYS, AR,72320,Mark.Remmell@hughes.net,,SM5-HOR-6K,Spaceway,0,DPC Classic upgrade,1,3-2-1960,52,7,0,0,N
AMR-24180121,Active,1/23/2002,7/14/2005,,HN7000S,Retail/others,Indirect,TAG,HNS Customers,Texa,Borchers,9348 CHEW ALTA RD 0 0,STEELEVILLE, IL,62288,Tex.Borchers@compuserve.com,GOOD,SM5-HOR-6K,Broadband Remote,0,DW6000 Upgrade,2,18-2-1969,43,5,,0,N
AMR-24191817,Active,12/27/2001,7/30/2003,Pro,HN7000S,Call Center,Indirect,MiniDish,HNS Customers,Shandra,Banning,22014 CO SLAYDEN ST 0 0,MESQUITE, TX,75181,Shandra.Banning@aol.com,BAD,G17-HOR-2K,Spaceway,0,National Sales,1,1-12-1967,45,0,1,0,N
AMR-24200316,Active,11/20/2001,2/15/2005,Elite,HN7000S,Sales Agents,Indirect,TAG,HNS Customers,Mac,Penner,2805 W LN 0 0 0,PROCTOR, OK,74457,Mac.Penner@geeksquad.com,GOOD,AM6-HOR-21K,Spaceway,0,Retail       ,2,23-9-1974,38,0,0,0,
AMR-24202228,Active,3/12/2002,11/14/2005,Home,HN7000S,Web orders,Direct,Hughes Web Order,HNS Customers,Joe,BISHOP,4 2 RIVER CV 0 0,BOONE, IA,50036,Joe.BISHOP@aol.com,BAD,SM5-VER-15K,Broadband Remote,0,DW7000 Upgrade,2,28-2-1954,58,8,1,0,
AMR-24209503,Inactive,4/3/2002,2/27/2005,Elite,HN9000,Web orders,Indirect,NCC,HNS Customers,Donalda,Schwartz,PO BOX 34,HOLLISTER, CA,95023,prsmail4@aol.com,,SPACEWAY3,Spaceway,,DW6000 Upgrade,1,12-1-1952,60,4,1,0,Y
AMR-24209758,Active,1/18/2002,11/25/2005,Basic_Ltd,HN7000S,,Indirect,Hughes Web Order,HNS Customers,Richard,Blake,PO RUDDY 329 RD 0 0,SCOTTSDALE, AZ,85259,Richard.Blake@gmail.com,BAD,G3C-VER-9K,Broadband Remote,0,HN7000 Upgrade,2,12-12-1980,32,6,1,1,
AMR-24212037,Active,3/28/2002,7/6/2005,Basic,HN7000S,,Indirect,Perfect 10,HNS Customers,Jim,ADAMS,1188 ASHBY POINT 0 0 0,GOODE, VA,24556,Jim.ADAMS@yahoo.com,BAD,SM5-VER-5K,Broadband Remote,0,DPC Classic upgrade,1,25-1-1985,27,0,0,0,N
AMR-24218101,Active,4/6/2002,8/20/2005,Pro,DW4000,,Indirect,Hughes Web Order,HNS Customers,Richarda,Elkins,9019 SUFFIELD BLVD 0 0 0,HEALDSBURG, CA,95448,Richard.Elkins@aol.com,BAD,SPACEWAY3,Spaceway,0,Direct,1,5-10-1990,22,0,0,0,Y
AMR-24219997,Active,3/30/2002,4/26/2004,Pro,HN9000,Retail/others,Indirect,NCC,HNS Customers,Matta,Crosby,1316 BOX ROUTE LORENZO 0 0,SAN JOSE, CA,95125,Matt.Crosby@hughes.net,,G16-VER-21K,Broadband Remote,SRVC ASSUR STD EXISTING CUST NO COMMIT,Dealer-Generated Sale,1,10-3-1979,33,A,,0,Y
AMR-24227873,Active,3/31/2002,1/20/2004,Basic,DW4000,Sales Agents,Indirect,LiveBridge Communications LLC,HNS Customers,Douglasa,Domenico,4675 SEA RD 154 0 0,ATWATER, OH,44201,Douglas.Domenico@sipnsearch.com,BAD,SM5-HOR-6K,Broadband Remote,0,HN7000 Upgrade,2,15-12-1985,27,0,0,0,N
AMR-24236645,Active,3/16/2010,2/28/2012,Home,DW4020,Web orders,Direct,TAG,HNS Customers,Monicaa,Sueroberts,2360 E 2484 RD 0 0,HAMILTON, OH,45013,Monica.Sueroberts@hotmail.com,,SPACEWAY3,Broadband Remote,0,DW7000 Upgrade,2,26-8-1974,38,8,1,0,Y
AMR-24239234,Active,9/24/2001,4/12/2004,,HN7000S,,Direct,ACS Pre-Install,HNS Customers,Rjgriffinca,TAYLOR,506 AZURE 26 0 0 0,SONOITA, AZ,85637,Rjgriffinc.TAYLOR@aol.com,GOOD,SM5-VER-1K,Broadband Remote,0,Dealer-Generated Sale,1,23-2-1986,26,9,0,0,
AMR-24241345,Active,4/9/2002,4/7/2005,Elite,HN7000S,Vars,Indirect,AmericanSat,HNS Customers,William,KRUM,497 ALAMO DEL BOX220 10 0,AUBURN, WA,98092,William.KRUM@hughes.net,GOOD,G17-HOR-2K,Broadband Remote,0,DW7000 Upgrade,2,20-3-1989,23,6,1,0,N
AMR-24246390,Active,10/17/2001,9/14/2005,Elite,HN9000,Web orders,Indirect,InfoDish,HNS Customers,Dennis,Vandenack,5866 W CHAD 0 0 0,COARSEGOLD, CA,93614,Dennis.Vandenack@hotmail.com,BAD,SM5-HOR-6K,Spaceway,0,Direct,1,22-4-1963,49,6,0,0,N
AMR-24247246,Active,3/27/2002,3/13/2005,Elite,HN7000S,Sales Agents,Indirect,TAG,HNS Customers,Vincent,Diflorio,PO FOUR 157TH 0 0 0,CHEHALIS, WA,98532,Vincent.Diflorio@sipnsearch.com,GOOD,G16-VER-15K,Broadband Remote,0,DPC Classic upgrade,,11-2-1986,26,0,1,1,N
AMR-24254618,Active,8/13/2001,4/8/2003,Pro,DW6000,Web orders,Indirect,Verisign Web Ordering,HNS Customers,Jamesa,Laney,260 ARAPAHOE 110 127 0 0,CAMDEN, SC,29020,James.Laney@aol.com,GOOD,SPACEWAY3,Broadband Remote,0,DW7000 Upgrade,1,20-9-1957,55,0,1,1,
AMR-24258070,Active,12/7/2001,6/14/2003,Proplus,HN7000S,Retail/others,Indirect,Perfect 10,HNS Customers,Herba,Stoffa,15191 HALE LN RD 0 0,ELK POINT, SD,57025,Herb.Stoffa@gmail.com,GOOD,AM9-HOR-17K,Broadband Remote,0,DW7000 Upgrade,1,23-7-1965,47,5,0,0,
AMR-24263859,Active,3/21/2002,9/24/2004,,HN7000S,Vars,Indirect,RS&I,HNS Customers,DENNISa,Spencer,120 HWY RIVERSIDE 0 0 0,HOLLAND, NY,14080,DENNIS.Spencer@rossaweb.net,GOOD,0,Broadband Remote,0,HN7000 Upgrade,2,5-2-1960,52,7,0,0,N
AMR-24264316,Active,2/26/2002,12/24/2004,Power150,HN7000S,Sales Agents,Direct,TAG,HNS Customers,ROGER,Remmell,33166 CHESTNUT VALLEY DR 0 0,DASSEL, MN,55325,ROGER.Remmell@hotmail.com,GOOD,SM5-VER-15K,Broadband Remote,0,Direct,1,17-8-1968,44,0,0,,
AMR-24274370,Active,1/25/2002,12/27/2003,Home,HN7000S,,Direct,Hughes Web Order,HNS Customers,JAMES,ADAMS,E9606 KANAMAN RD,ROGERS, AR,72756,jimad725@hughes.net,BAD,SM5-VER-7K,Broadband Remote,,HN7000 Upgrade,1,5-3-1956,56,9,2,0,N
AMR-24274935,Active,3/31/2002,3/12/2004,Basic,HN7000S,Sales Agents,Indirect,ACS,HNS Customers,Richard,Spiro,9175 DALLAS DR 114A 0 0,LEAVENWORTH, WA,98826,Richard.Spiro@sipnsearch.com,BAD,SM5-VER-5K,Broadband Remote,0,Direct,1,21-10-1984,28,0,0,,N
AMR-24275148,Active,3/21/2002,2/21/2006,Home,HN9000,,Indirect,NCC,HNS Customers,SAMIRa,ALBUSAIDY,PO BOX 586,NORTH POTOMAC, MD,20878,sunsine1047@hotmail.com,GOOD,SPACEWAY3,Spaceway,,Direct,1,.,.,,0,,
AMR-24283356,Active,4/17/2002,7/18/2005,Home,HN9000,Web orders,Direct,ACS,HNS Customers,Daniela,Tuse,7955 SPENCER LN,SHOW LOW, AZ,85901,daniel@rossaweb.com,,SPACEWAY3,Spaceway,,HN9000 Upgrade,1,7-9-1926,86,8,1,0,N
AMR-24285346,Active,12/30/2001,12/22/2003,Pro,UNK,Web orders,Indirect,Hughes Web Order,HNS Customers,Robert,WHITEHEAD JR,2510 GREEN RUN RD 0 0,HEALDSBURG, CA,95448,Robert.WHITEHEAD JR@geeksquad.com,BAD,AM9-VER-2K ,Spaceway,0,Dealer-Generated Sale,1,10-7-1960,52,0,0,0,N
AMR-24296788,Active,1/14/2002,8/9/2003,Proplus,HN9000,Retail/others,Indirect,NCC,HNS Customers,Anna,Turner,2 TRIANGLE X RANCH RD,FRONT ROYAL, VA,22630,anneturner@rmisp.com,,SPACEWAY3,Spaceway,,DW6000 Upgrade,1,6-5-1978,34,8,1,1,N
AMR-24296974,Active,1/16/2002,10/14/2003,Pro,HN7000S,,Indirect,LiveBridge Communications LLC,HNS Customers,Bill,Spurgin,W2354 DAVIS 1512 0 0 0,EUGENE, OR,97402,Bill.Spurgin@hotmail.com,BAD,AM9-VER-2K ,Spaceway,0,Dealer-Generated Sale,1,16-1-1989,23,0,,0,Y
AMR-24302979,Active,3/19/2002,11/21/2003,Elite,HN9000,Vars,Indirect,ValueElectronics,HNS Customers,Carriea,MURPHY,15448 10TH 118 RD RD 0,WINTERS, CA,95694,Carrie.MURPHY@wexzone.com,GOOD,SM5-VER-7K,Broadband Remote,0,Retail,2,5-4-1972,40,9,1,0,Y
AMR-24304088,Active,5/29/2003,4/1/2006,Proplus,UNK,Web orders,Indirect,ACS,HNS Customers,Linda,ROBINSON,2493 N ST 0 0 0,HIBBING, MN,55746,Linda.ROBINSON@aol.com,BAD,SPACEWAY3,Broadband Remote,0,Direct,1,10-10-1954,58,6,1,0,N
AMR-24305724,Active,4/2/2002,2/10/2006,Basic,UNK,Vars,Indirect,AmericanSat,HNS Customers,Richarda,Christensen,PO RD RD DR 0 0,MODOC, IN,47358,Richard.Christensen@rossaweb.net,,AM9-HOR-21K,Broadband Remote,0,Retail       ,2,7-2-1964,48,3,0,,N
AMR-24306650,Active,4/18/2002,9/24/2003,Elite,HN9000,,Indirect,ACS Pre-Install,HNS Customers,Bryan,Wright,1270 OLD PLANK RD S,PILOT ROCK, OR,97868,kcobra@hughes.net,,SPACEWAY3,Spaceway,,HN9000 Upgrade,2,27-5-1964,48,5,1,1,N
AMR-24310211,Active,4/4/2002,6/4/2004,Elite,HN7000S,Vars,Indirect,,HNS Customers,Warren,Vodrey,69704 WESTMINISTER 292ND RD 0 0,ROCKVILLE, MD,20850,Warren.Vodrey@gmail.com,BAD,SPACEWAY3,Broadband Remote,0,Dealer-Generated Sale,1,27-12-1987,25,0,0,0,Y
AMR-24313400,Active,4/18/2002,9/1/2005,Basic_Ltd,HN9000,,Indirect,RS&I,HNS Customers,Terrya,Strawn,3365 DELANO VALLEY LN 0 0,LOS ANGELES, CA,90008,Terry.Strawn@rossaweb.net,GOOD,SM5-HOR-14K,Spaceway,0,HN7000 Upgrade,2,7-8-1965,47,0,0,0,N
AMR-24316658,Active,3/25/2002,9/24/2003,Basic_Ltd,HN9000,Web orders,Indirect,NCC,HNS Customers,Horace,HIGGINS,3418 BOX 16 RD 0 0,SONOMA, CA,95476,Horace.HIGGINS@aol.com,GOOD,SPACEWAY3,Broadband Remote,0,HN7000 Upgrade,2,12-7-1974,38,0,0,0,N
AMR-24317041,Active,12/6/2001,2/22/2005,,HN9000,Retail/others,Indirect,AmericanSat,HNS Customers,CLIFFORDa,Gaske,PO HUNTERS RD 154 0 0,HOTEVILLA, AZ,86030,CLIFFORD.Gaske@sipnsearch.com,,,Spaceway,0,DW6000 Upgrade,,22-4-1955,57,6,0,,Y
AMR-24322218,Active,1/25/2002,12/30/2005,Proplus,HN7000S,,Indirect,TAG,HNS Customers,Thomas,FUTRELL,1000 WILDWOOD 3 0 0 0,MACKS CREEK, MO,65786,Thomas.FUTRELL@sipnsearch.com,GOOD,0,Broadband Remote,0,DW6000 Upgrade,1,20-11-1960,52,4,0,0,
AMR-24325362,Active,2/26/2002,2/14/2006,Home,HN7000S,Vars,Indirect,RS&I,HNS Customers,Richard,Noyes,18910 PUNTA RD HOOK 0 0,MONTICELLO, IL,61856,Richard.Noyes@yahoo.com,,HZN-HOR-8K,Spaceway,0,DPC Classic upgrade,1,10-7-1986,26,0,0,0,
AMR-24327737,Active,7/25/2001,2/16/2005,Pro,HN7000S,,Direct,TAG,HNS Customers,Trisha,Castelo,4702 PROGRESS RIDGE ST 0 0,ESPANOLA, NM,87532,Trish.Castelo@aol.com,GOOD,G17-HOR-6K,Broadband Remote,0,DW6000 Upgrade,2,27-5-1963,49,6,1,1,N
AMR-24328390,Active,4/11/2002,4/24/2006,Basic_Ltd,HN9000,Retail/others,Indirect,RS&I,HNS Customers,Brucea,Cusatis,100 BOX 240 23 0 0,SAN FRANCISCO, CA,94123,Bruce.Cusatis@geeksquad.com,GOOD,G28-HOR-10K,Broadband Remote,0,HN9000 Upgrade,2,3-5-1970,42,0,0,0,N
AMR-24328431,Active,6/25/2001,2/25/2005,Basic_Ltd,DW4020,,Indirect,TAG,HNS Customers,Marka,Smith,428 ENGLISH NAPERVILLE-PLAINFIELD 8057981498 0 0,VALLEY CENTER, CA,92082,Mark.Smith@rossaweb.net,GOOD,AM6-HOR-21K,Spaceway,0,Direct,1,5-3-1983,29,8,1,0,
AMR-24339185,Active,3/15/2002,4/14/2004,Basic,,Web orders,Indirect,LiveBridge Communications LLC,HNS Customers,Davida,Stovesand,11168 CHILDERS ROAD RD 0 0,GAITHERSBURG, MD,20877,David.Stovesand@aol.com,BAD,HZN-VER-23K,Broadband Remote,0,Dealer-Generated Sale,2,2-11-1948,64,7,0,0,N
AMR-24342206,Active,4/17/2002,7/25/2005,Power150,HN7000S,Vars,Indirect,Perfect 10,HNS Customers,Stanley,Shover,7232 VINEYARD 158 0 0 0,OJAI, CA,93023,Stanley.Shover@geeksquad.com,GOOD,0,Broadband Remote,0,HN9000 Upgrade,2,3-6-1984,28,9,0,0,N
AMR-24351208,Active,2/18/2002,8/30/2005,Elite,DW4020,Vars,Indirect,TAG,HNS Customers,Dennis,TAYLOR,924 PRIVATE NEAP ROAD 0 0,SANDY, UT,84070,Dennis.TAYLOR@wexzone.com,GOOD,G17-HOR-2K,Broadband Remote,0,DW6000 Upgrade,1,9-8-1970,42,3,0,0,
AMR-24351349,Active,2/16/2002,8/5/2005,Basic_Ltd,,Vars,Indirect,Hughes Web Order,HNS Customers,James,Christian,11168 LAGUNA 640 RD DR 0,RHINELANDER, WI,54501,James.Christian@wexzone.com,BAD,G3C-VER-24K,Broadband Remote,0,Retail       ,2,4-1-1952,60,3,1,1,N
AMR-24352623,Active,11/28/2001,12/13/2004,Basic_Ltd,,,,Perfect 10,HNS Customers,Johna,Martin,4787 CANSLER MAIN LN 0 0,ROUGEMONT, NC,27572,John.Martin@gmail.com,,SM5-VER-15K,Spaceway,0,HN7000 Upgrade,2,4-10-1953,59,6,0,0,
AMR-24353153,Active,8/16/2001,3/8/2005,,HN7000S,Sales Agents,Indirect,AmericanSat,HNS Customers,Abrama,Fedoroff,17782 JONES DR 4 0 0,CHELAN, WA,98816,Abram.Fedoroff@rossaweb.net,BAD,G3C-VER-24K,Broadband Remote,0,Retail       ,2,22-10-1971,41,0,1,1,N
AMR-24353506,Active,3/8/2002,4/3/2006,Basic,UNK,Call Center,Indirect,InfoDish,HNS Customers,Arthur,Mcdermott,13842 BOX 1119 266 0 0,BAKER CITY, OR,97814,Arthur.Mcdermott@geeksquad.com,BAD,AM9-VER-2K ,Broadband Remote,0,National Sales,2,19-7-1953,59,0,0,0,
AMR-24355388,Active,2/9/2002,1/3/2004,Proplus,DW4020,,Direct,TAG,HNS Customers,REBECCA,WHITE,RR WEBB HIGHWAY 0 0 0,BANNING, CA,92220,REBECCA.WHITE@gmail.com,,SPACEWAY3,Broadband Remote,0,Retail       ,1,4-6-1975,37,0,0,0,N
AMR-24355459,Active,1/19/2002,2/16/2004,Pro,HN7000S,Vars,Indirect,LiveBridge Communications LLC,HNS Customers,Ron,Wilson Jr.,220 GOLF RD 38A 0 0,UMPQUA, OR,97486,Ron.Wilson Jr.@hughes.net,BAD,SPACEWAY3,Broadband Remote,0,HN7000 Upgrade,2,20-6-1987,25,0,1,0,N
AMR-24359356,Active,2/27/2002,8/6/2003,Elite,HN9000,,Indirect,ValueElectronics,HNS Customers,Chestera,Magsarili,76 HUNTLEIGH POINT 0 0 0,GILROY, CA,95020,Chester.Magsarili@wexzone.com,GOOD,HZN2-VER-4K,Broadband Remote,0,Classic Migration,1,4-6-1962,50,3,0,0,N
AMR-24360064,Active,3/21/2002,6/24/2004,Elite,HN7000S,Sales Agents,Indirect,TAG,HNS Customers,Douga,MURPHY,4160 COUNTY 131 LOOP 0 0,ASPEN, CO,81612,Doug.MURPHY@yahoo.com,GOOD,SM5-VER-5K,Broadband Remote,0,HN7000 Upgrade,2,16-6-1956,56,4,0,,Y
AMR-24362784,Active,12/10/2001,2/10/2004,Basic_Ltd,DW4000,,Indirect,,HNS Customers,Orval,Devries,711 OLD RD LANE 0 0,MOUNT VERNON, MO,65712,Orval.Devries@geeksquad.com,GOOD,G3C-VER-21K,Broadband Remote,0,HN7000 Upgrade,2,9-4-1978,34,0,1,1,N
AMR-24362797,Active,6/14/2001,4/25/2005,Elite,,Vars,Indirect,TAG,HNS Customers,George,Price,16147 E 1858 0 E 0,DELAPLANE, VA,20144,George.Price@gmail.com,GOOD,SM5-VER-15K,Broadband Remote,0,DPC Classic upgrade,1,24-6-1949,63,1,0,0,N
AMR-24365727,Active,2/24/2002,8/26/2005,Elite,UNK,Sales Agents,Direct,AmericanSat,HNS Customers,Mikea,Rubado,PO RILEY 878 RD 710 0,DURHAM, CA,95938,Mike.Rubado@hughes.net,,,Broadband Remote,0,Direct,1,15-12-1959,53,6,0,0,N
AMR-24366059,Active,3/4/2002,7/3/2004,Power150,HN9000,Retail/others,Indirect,TAG,HNS Customers,Thomasa,Anderson,2804 OLD FARM RD 0 0,OJAI, CA,93023,Thomas.Anderson@geeksquad.com,,SPACEWAY3,Broadband Remote,0,HN7000 Upgrade,2,28-1-1938,74,6,0,0,Y
AMR-24369396,Active,9/19/2001,9/24/2003,Pro,,Vars,Indirect,InfoDish,HNS Customers,Kellya,Hawley,13408 MOUNTAIN 62 0 0 0,BATES CITY, MO,64011,Kelly.Hawley@rossaweb.net,BAD,SM5-VER-1K,Broadband Remote,0,UNKNOWN,2,7-10-1950,62,0,0,,
AMR-24370630,Active,11/6/2001,4/19/2005,Basic,DW4020,Sales Agents,Indirect,ACS,HNS Customers,Terrya,Jetton,2426 THACHER HOUSE ROUTE 0 0,CRAIG, CO,81625,Terry.Jetton@compuserve.com,,0,Spaceway,0,HN7000 Upgrade,1,23-10-1973,39,C,1,0,N
AMR-24376778,Active,8/6/2001,6/29/2004,Power150,HN9000,,Indirect,TAG,HNS Customers,Pat,Hackley,123 SHORT RD 330 0 0,ROUGEMONT, NC,27572,Pat.Hackley@hughes.net,GOOD,SPACEWAY3,Spaceway,0,Direct,1,20-4-1961,51,0,2,0,N
AMR-24377687,Active,10/16/2002,5/21/2005,Power150,HN7000S,,Direct,NCC,HNS Customers,J,Chastek,2957 E DEAN 0 0 0,SPRING BRANCH, TX,78070,J.Chastek@rossaweb.net,GOOD,G17-HOR-2K,Broadband Remote,0,HN7000 Upgrade,2,16-6-1965,47,0,0,0,N
AMR-24379795,Active,1/4/2002,10/3/2004,Home,HN9000,,Indirect,UNKNOWN,HNS Customers,Arthur,Urso,PO COUNTY COUNTY 0 0 0,TYLER, TX,75707,Arthur.Urso@yahoo.com,BAD,SM5-VER-15K,Broadband Remote,0,HN7000 Upgrade,2,11-2-1985,27,0,1,0,N
AMR-24381993,Active,12/6/2001,6/5/2003,Proplus,HN7000S,Sales Agents,Direct,Hughes Web Order,HNS Customers,Terry,O'neill,3 ABLES PKWY RD 0 0,SHERMAN, TX,75090,Terry.O'neill@gmail.com,BAD,SM5-VER-5K,Broadband Remote,0,DPC Classic upgrade,1,15-6-1957,55,2,0,0,
AMR-24383175,Active,3/3/2002,11/10/2003,Proplus,HN9000,Call Center,Indirect,Hughes Web Order,HNS Customers,Petera,Nelms,531 REDTAIL FARM 0 0 0,BLYTHE, CA,92225,Peter.Nelms@rossaweb.net,BAD,G16-HOR-8K,Broadband Remote,0,HN7000 Upgrade,1,27-11-1984,28,0,,1,N
AMR-24385865,Active,10/18/2001,8/22/2003,Power150,HN7000S,Call Center,Indirect,TAG,HNS Customers,LUISa,Heth,23500 1 & 0 0 0,FRIENDSWOOD, TX,77546,LUIS.Heth@hughes.net,GOOD,G17-HOR-6K,Broadband Remote,EXPRESS REPAIR HOME WITH TERM,HN9000 Upgrade,2,22-2-1960,52,9,0,0,N
AMR-24389045,Active,3/21/2002,5/17/2005,Proplus,HN7000S,Retail/others,Direct,TAG,HNS Customers,JOHNa,Junefortner,38509 N 570 0 0 0,WALDORF, MD,20603,JOHN.Junefortner@aol.com,,SPACEWAY3,Broadband Remote,0,HN7000 Upgrade,2,9-1-1968,44,0,1,0,
AMR-24389391,Active,11/27/2001,9/6/2004,Basic_Ltd,DW4000,Retail/others,Indirect,UNKNOWN,HNS Customers,SAMUEL,CHAO,605 SUFFIELD DR,SAN FRANCISCO, CA,94123,samskg20100826@hughes.net,BAD,,Broadband Remote,,Dealer-Generated Sale,1,28-2-1964,48,6,2,1,N
AMR-24396241,Active,2/9/2002,8/5/2004,Proplus,UNK,Call Center,Indirect,AmericanSat,HNS Customers,Phillip,Butehorn,4963 CHEW YATES 0 0 0,YAMHILL, OR,97148,Phillip.Butehorn@hughes.net,BAD,SPACEWAY3,Broadband Remote,0,DW6000 Upgrade,1,12-6-1965,47,9,0,,
AMR-24397120,Active,8/24/2001,2/1/2005,Basic,HN7000S,Sales Agents,Direct,TAG,HNS Customers,Brian,Scott,2940 COUNTY RD DR 0 0,STOCKTON, CA,95219,Brian.Scott@compuserve.com,GOOD,G16-HOR-8K,Broadband Remote,0,DPC Classic upgrade,1,15-4-1962,50,8,0,0,
AMR-24397309,Active,6/14/2001,5/24/2003,Home,HN9000,,Indirect,Hughes Web Order,HNS Customers,Garya,Dockstader,15340 ENGLAND 429 ST 0 0,NEW WINDSOR, MD,21776,Gary.Dockstader@hotmail.com,BAD,HZN2-VER-4K,Broadband Remote,0,DW7000 Upgrade,,14-3-1970,42,3,1,0,N
AMR-24400826,Active,1/28/2002,12/23/2003,Proplus,DW4020,Sales Agents,Indirect,RS&I,HNS Customers,Helen,Taliaferro,RR 1 BOX 59,UPPR MARLBORO, MD,20772,jctins@wwwebservice.net,GOOD,AM9-VER-2K ,Broadband Remote,,Dealer-Generated Sale,1,.,.,3,0,0,N
AMR-24400919,Active,1/19/2002,9/9/2003,Basic,UNK,Vars,Direct,Verisign Web Ordering,HNS Customers,Billy,Lovie,6955 GERALD RD 0 0 0,EUREKA, CA,95503,Billy.Lovie@yahoo.com,GOOD,SM5-VER-7K,Spaceway,0,Dealer-Generated Sale,2,11-11-1954,58,6,0,0,N
AMR-24402026,Active,11/14/2001,9/23/2004,Proplus,HN7000S,,Indirect,TAG,HNS Customers,Kena,Best,19271 KELLOGG DR RD RD 0,WESTCLIFFE, CO,81252,Ken.Best@aol.com,GOOD,G17-HOR-6K,Spaceway,0,HN9000 Upgrade,1,12-11-1954,58,5,0,0,N
AMR-24402803,Active,12/7/2001,12/18/2005,Basic_Ltd,HN7000S,Call Center,Direct,TAG,HNS Customers,Nancy,SLETTEN,748 BOX JETTON RD 0 0,HAMILTON, MI,49419,Nancy.SLETTEN@geeksquad.com,GOOD,AM9-HOR-17K,Broadband Remote,0,DW6000 Upgrade,1,12-8-1979,33,1,0,0,
AMR-24403771,Active,12/30/2001,1/29/2006,Pro,HN7000S,Sales Agents,Indirect,LiveBridge Communications LLC,HNS Customers,Eric,Giantonio,5866 ROGERS CT 3530 0 0,GOLDEN, CO,80401,Eric.Giantonio@yahoo.com,BAD,AM6-HOR-21K,Broadband Remote,0,HN9000 Upgrade,,21-2-1955,57,4,2,0,N
AMR-24409565,Active,7/17/2002,11/29/2004,Power150,HN9000,Retail/others,Direct,MiniDish,HNS Customers,Maryellena,Lesko,PO ASHBY CANYON DR 0 0,THREE RIVERS, CA,93271,Maryellen.Lesko@hughes.net,GOOD,AM9-VER-2K ,Broadband Remote,0,DW6000 Upgrade,2,19-12-1983,29,8,1,1,N
AMR-24410669,Active,6/25/2001,1/20/2004,Home,UNK,Retail/others,Indirect,TAG,HNS Customers,Larry,Reinecke,69330 W 827 0 0 0,BEULAH, WY,82712,Larry.Reinecke@compuserve.com,GOOD,SM5-VER-15K,Broadband Remote,0,DW6000 Upgrade,2,7-3-1960,52,0,1,0,N
AMR-24421942,Active,1/18/2002,10/27/2003,Elite,HN7000S,,Indirect,TAG,HNS Customers,John,Kepley,14540 HIGHWAY WAY 0 0 0,WEBSTER, NH,3303,John.Kepley@gmail.com,GOOD,0,Spaceway,0,Dealer-Generated Sale,,3-6-1964,48,3,0,0,N
